competition_name,gender,country,season_end_year,squad,team_or_opponent,num_players,mins_per_90,cmp_total,att_total,cmp_percent_total,tot_dist_total,prg_dist_total,cmp_short,att_short,cmp_percent_short,cmp_medium,att_medium,cmp_percent_medium,cmp_long,att_long,cmp_percent_long,ast,x_a,a_minus_x_a,kp,final_third,ppa,crs_pa,prog
Fußball-Bundesliga,M,GER,2019,Stuttgart,team,26,34,11309,15160,74.6,230295,83888,4281,5106,83.8,4941,5965,82.8,1942,3612,53.8,26,28.3,-2.3,304,834,251,94,1006
Fußball-Bundesliga,M,GER,2019,Werder Bremen,team,24,34,14504,18269,79.4,290395,101443,5481,6407,85.5,6548,7659,85.5,2291,3646,62.8,38,34,4,332,1194,330,97,1483
Fußball-Bundesliga,M,GER,2019,Wolfsburg,team,25,34,13200,17041,77.5,300330,97902,3894,4759,81.8,6153,7279,84.5,3025,4512,67,38,31.7,6.3,292,985,298,85,1283
Fußball-Bundesliga,M,GER,2019,vs Augsburg,opponent,30,34,13972,17716,78.9,292583,101729,4955,5915,83.8,6332,7389,85.7,2515,3944,63.8,50,43.7,6.3,388,1106,314,75,1306
Fußball-Bundesliga,M,GER,2019,vs Bayern Munich,opponent,24,34,9258,12495,74.1,188332,70677,3548,4291,82.7,4058,4883,83.1,1530,2953,51.8,22,16.2,5.8,175,589,124,38,700
Fußball-Bundesliga,M,GER,2019,vs Dortmund,opponent,23,34,12444,15842,78.6,253844,86382,4671,5449,85.7,5462,6422,85.1,2128,3487,61,25,23.7,1.3,240,912,269,89,1096
Fußball-Bundesliga,M,GER,2019,vs Düsseldorf,opponent,24,34,16262,19682,82.6,320296,106329,6263,7072,88.6,7339,8356,87.8,2476,3761,65.8,35,38.5,-3.5,338,1322,307,82,1457
Fußball-Bundesliga,M,GER,2019,vs Eint Frankfurt,opponent,30,34,12907,16956,76.1,262462,99005,4997,6005,83.2,5473,6554,83.5,2243,3842,58.4,38,39.6,-1.6,342,1034,303,83,1253
Fußball-Bundesliga,M,GER,2019,vs Freiburg,opponent,28,34,15596,19085,81.7,324043,104494,5378,6146,87.5,7350,8328,88.3,2690,4126,65.2,46,37.7,8.3,362,1268,359,90,1390
Fußball-Bundesliga,M,GER,2019,vs Hannover 96,opponent,32,34,13802,17601,78.4,280715,99024,5197,6136,84.7,6098,7155,85.2,2332,3803,61.3,50,46.7,3.3,428,1176,386,105,1416
Fußball-Bundesliga,M,GER,2019,vs Hertha BSC,opponent,26,34,13740,17526,78.4,269999,97416,5549,6416,86.5,5965,7072,84.3,2050,3527,58.1,43,42.8,0.2,364,1134,316,70,1346
Fußball-Bundesliga,M,GER,2019,vs Hoffenheim,opponent,29,34,12111,15622,77.5,247864,93082,4569,5390,84.8,5346,6323,84.5,2049,3404,60.2,31,32.5,-1.5,336,938,315,77,1230
Fußball-Bundesliga,M,GER,2019,vs Leverkusen,opponent,21,34,10805,14479,74.6,220846,82690,4104,5014,81.9,4644,5656,82.1,1895,3293,57.5,35,28.6,6.4,271,844,236,68,1126
Fußball-Bundesliga,M,GER,2019,vs M'Gladbach,opponent,22,34,13937,17162,81.2,281369,92365,5250,5945,88.3,6222,7115,87.4,2265,3576,63.3,27,35.3,-8.3,333,970,264,79,1178
Fußball-Bundesliga,M,GER,2019,vs Mainz 05,opponent,28,34,14430,18200,79.3,291946,102812,5378,6284,85.6,6451,7495,86.1,2393,3878,61.7,46,42.1,3.9,379,1027,332,101,1283
Fußball-Bundesliga,M,GER,2019,vs Nürnberg,opponent,27,34,16137,19596,82.3,328373,108185,5801,6629,87.5,7452,8459,88.1,2689,3986,67.5,45,38,7,380,1459,372,95,1558
Fußball-Bundesliga,M,GER,2019,vs RB Leipzig,opponent,23,34,12868,17217,74.7,266646,92087,4647,5572,83.4,5799,7015,82.7,2262,4065,55.6,16,21.8,-5.8,209,796,204,54,1069
Fußball-Bundesliga,M,GER,2019,vs Schalke 04,opponent,32,34,13918,17574,79.2,281244,94390,5108,6007,85,6324,7344,86.1,2298,3669,62.6,35,32.1,2.9,319,905,256,68,1220
Fußball-Bundesliga,M,GER,2019,vs Stuttgart,opponent,26,34,14367,18122,79.3,289094,99573,5399,6291,85.8,6485,7534,86.1,2297,3763,61,48,38.8,9.2,352,1160,338,99,1346
Fußball-Bundesliga,M,GER,2019,vs Werder Bremen,opponent,24,34,12948,16707,77.5,268011,93962,4864,5743,84.7,5498,6552,83.9,2386,3870,61.7,36,37.4,-1.4,327,985,285,74,1190
Fußball-Bundesliga,M,GER,2019,vs Wolfsburg,opponent,25,34,11328,15040,75.3,225892,86150,4487,5344,84,4886,5953,82.1,1795,3245,55.3,36,31.9,4.1,322,966,266,77,1182
Fußball-Bundesliga,M,GER,2018,Augsburg,team,27,34,10179,14251,71.4,219096,88617,3627,4483,80.9,4284,5367,79.8,2116,3888,54.4,30,31.1,-3.1,312,856,263,110,1069
Fußball-Bundesliga,M,GER,2018,Bayern Munich,team,28,34,20441,23840,85.7,398949,119150,8197,9030,90.8,8974,10005,89.7,3042,4271,71.2,72,56.3,13.7,462,1705,462,112,1710
Fußball-Bundesliga,M,GER,2018,Dortmund,team,30,34,16586,20322,81.6,316583,100510,6657,7606,87.5,7466,8554,87.3,2242,3633,61.7,44,43.3,-3.3,342,1302,337,68,1418
Fußball-Bundesliga,M,GER,2018,Eint Frankfurt,team,28,34,11441,15528,73.7,248227,92580,3763,4610,81.6,5261,6456,81.5,2263,3957,57.2,34,31.8,3.2,273,931,275,81,1187
